"type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","fold_strin"
"susceptible",22,1.42204835572547,31.4047422320228,1.42204835572547,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,52674,"1215935","0.0433197498221533",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",23,27.5866150192578,27.5866150192578,1.16814007487348,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,1021834,"1065103","0.959375759903033",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",23,1.16814007487348,27.5866150192578,1.16814007487348,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,43269,"1065103","0.0406242400969671",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",24,24.2707159562736,24.2707159562736,0.954241583731491,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,899010,"934356","0.96217073577951",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",24,0.954241583731491,24.2707159562736,0.954241583731491,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,35346,"934356","0.0378292642204898",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",25,21.3482194949456,21.3482194949456,0.772874669243058,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,2,790758,"819386","0.965061643718589",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",25,0.772874669243058,21.3482194949456,0.772874669243058,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,2,28628,"819386","0.0349383562814107",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",26,18.7583550302552,18.7583550302552,0.619206839938479,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,694827,"717763","0.968045162539724",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",26,0.619206839938479,18.7583550302552,0.619206839938479,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,22936,"717763","0.0319548374602759",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",27,16.5402144485049,16.5402144485049,0.492995121386317,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,3,612665,"630926","0.971056827583583",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",27,0.492995121386317,16.5402144485049,0.492995121386317,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,3,18261,"630926","0.0289431724164165",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",28,14.5257404346171,14.5257404346171,0.385033482351002,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,538047,"552309","0.974177498465533",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",28,0.385033482351002,14.5257404346171,0.385033482351002,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,14262,"552309","0.0258225015344671",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",29,12.8096660196935,12.8096660196935,0.293594104653425,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,2,474482,"485357","0.977593812389643",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",29,0.293594104653425,12.8096660196935,0.293594104653425,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,2,10875,"485357","0.0224061876103569",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",30,11.2764433630059,11.2764433630059,0.211981692849535,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,6,417690,"425542","0.981548237306776",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",30,0.211981692849535,11.2764433630059,0.211981692849535,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,6,7852,"425542","0.0184517626932242",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",31,9.94448452702558,9.94448452702558,0.152074996920712,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,368353,"373986","0.984937938853326",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",31,0.152074996920712,9.94448452702558,0.152074996920712,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,5633,"373986","0.0150620611466739",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
