"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","subunits","v_prog","p2pfu","bg_mut_rate","wt_rep_abil","uninf_cells","surv_pfu","tot_pfu","pop_prop","check_sums"
"57","resistant",0,0.00816810392423374,0.00816810392423374,0.0190589091565454,0.0190589091565454,0.00816810392423374,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,23687.5013802778,"78958.3379342595","0.3",0.999999999999998
"58","susceptible",0,0.0190589091565454,0.00816810392423374,0.0190589091565454,0.0190589091565454,0.00816810392423374,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,55270.8365539816,"78958.3379342595","0.7",0.999999999999998
"59","resistant",1,1.62527227989639,1.62527227989639,0.00554285921457545,0.0190589091565454,0.00816810392423374,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,4713289.61169953,"4729363.9034218","0.996601172578275",0.999999999999998
"60","susceptible",1,0.00554285921457545,1.62527227989639,0.00554285921457545,0.0190589091565454,0.00816810392423374,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,16074.2917222688,"4729363.9034218","0.0033988274217255",0.999999999999998
"61","resistant",0,0.0108908052323117,0.0108908052323117,0.0163362078484675,0.0163362078484675,0.0108908052323117,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,31583.3351737038,"78958.3379342595","0.4",0.999999999999998
"62","susceptible",0,0.0163362078484675,0.0108908052323117,0.0163362078484675,0.0163362078484675,0.0108908052323117,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,47375.0027605557,"78958.3379342595","0.6",0.999999999999998
"63","resistant",1,2.16927833013251,2.16927833013251,0.00583565000622228,0.0163362078484675,0.0108908052323117,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,6290907.15738427,"6307830.54240231","0.997317083123226",0.999999999999998
"64","susceptible",1,0.00583565000622228,2.16927833013251,0.00583565000622228,0.0163362078484675,0.0108908052323117,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,16923.3850180446,"6307830.54240231","0.00268291687677447",0.999999999999998
"65","resistant",0,0.0136135065403896,0.0136135065403896,0.0136135065403896,0.0136135065403896,0.0136135065403896,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,39479.1689671297,"78958.3379342595","0.5",0.999999999999998
"66","susceptible",0,0.0136135065403896,0.0136135065403896,0.0136135065403896,0.0136135065403896,0.0136135065403896,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,39479.1689671297,"78958.3379342595","0.5",0.999999999999998
"67","resistant",1,2.7144104497861,2.7144104497861,0.00577340390666615,0.0136135065403896,0.0136135065403896,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,7871790.30437969,"7888533.17570902","0.997877568496398",0.999999999999998
"68","susceptible",1,0.00577340390666615,2.7144104497861,0.00577340390666615,0.0136135065403896,0.0136135065403896,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,16742.8713293318,"7888533.17570902","0.00212243150360168",0.999999999999998
"69","resistant",0,0.0163362078484675,0.0163362078484675,0.0108908052323116,0.0108908052323116,0.0163362078484675,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,47375.0027605557,"78958.3379342595","0.6",0.999999999999998
"70","susceptible",0,0.0108908052323116,0.0163362078484675,0.0108908052323116,0.0108908052323116,0.0163362078484675,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,31583.3351737038,"78958.3379342595","0.4",0.999999999999998
"71","resistant",1,3.2606696882662,3.2606696882662,0.00535533643376933,0.0108908052323116,0.0163362078484675,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,9455942.09597199,"9471472.57162992","0.998360289222137",0.999999999999998
"72","susceptible",1,0.00535533643376933,3.2606696882662,0.00535533643376933,0.0108908052323116,0.0163362078484675,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,15530.4756579311,"9471472.57162992","0.00163971077786254",0.999999999999998
"73","resistant",0,0.0190589091565454,0.0190589091565454,0.00816810392423374,0.00816810392423374,0.0190589091565454,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,55270.8365539816,"78958.3379342595","0.7",0.999999999999998
"74","susceptible",0,0.00816810392423374,0.0190589091565454,0.00816810392423374,0.00816810392423374,0.0190589091565454,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,23687.5013802778,"78958.3379342595","0.3",0.999999999999998
"75","resistant",1,3.80805709492575,3.80805709492575,0.00458066250503576,0.00816810392423374,0.0190589091565454,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,11043365.5752847,"11056649.4965493","0.998798558164591",0.999999999999998
"76","susceptible",1,0.00458066250503576,3.80805709492575,0.00458066250503576,0.00816810392423374,0.0190589091565454,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,13283.9212646037,"11056649.4965493","0.0012014418354086",0.999999999999998
"77","resistant",0,0.0217816104646233,0.0217816104646233,0.00544540261615582,0.00544540261615582,0.0217816104646233,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927332,63166.6703474076,"78958.3379342595","0.8",0.999999999999998
"78","susceptible",0,0.00544540261615582,0.0217816104646233,0.00544540261615582,0.00544540261615582,0.0217816104646233,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927332,15791.6675868519,"78958.3379342595","0.2",0.999999999999998
"79","resistant",1,4.35657371907178,4.35657371907178,0.00344859643789032,0.00544540261615582,0.0217816104646233,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927332,12634063.7853082,"12644064.7149781","0.999209041562558",0.999999999999998
