"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","treatment"
"2021","resistant",2,0.0235685198494198,0.0235685198494198,203.07292733225,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,873,"7522884","0.0001160459206868",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2022","susceptible",2,203.07292733225,0.0235685198494198,203.07292733225,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7522011,"7522884","0.999883954079313",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2023","resistant",2.33333333333333,0.0276180937067084,0.0276180937067084,203.132888022497,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1023,"7525255","0.000135942237173358",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2024","susceptible",2.33333333333333,203.132888022497,0.0276180937067084,203.132888022497,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7524232,"7525255","0.999864057762827",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2025","resistant",2.66666666666667,0.0314786874506569,0.0314786874506569,202.982432855119,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1166,"7519825","0.000155056799859039",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2026","susceptible",2.66666666666667,202.982432855119,0.0314786874506569,202.982432855119,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7518659,"7519825","0.999844943200141",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2027","resistant",3,5.39943180971817e-05,5.39943180971817e-05,0.0999974771159804,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,2,"3706","0.000539665407447383",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2028","susceptible",3,0.0999974771159804,5.39943180971817e-05,0.0999974771159804,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,3704,"3706","0.999460334592553",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2029","resistant",3.33333333333333,0.0097189772574927,0.0097189772574927,0.00815314203267443,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,33500,360,"662","0.54380664652568",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2030","susceptible",3.33333333333333,0.00815314203267443,0.0097189772574927,0.00815314203267443,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,33500,302,"662","0.45619335347432",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
