"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","nu"
"16563","resistant",5,203.012205494303,203.012205494303,0.028605018507109,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4588434827,4589081351,0.999859116901499,9,-1.6,0.5,44,4736,452.03536564
"16564","susceptible",5,0.028605018507109,203.012205494303,0.028605018507109,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,646524,4589081351,0.000140883098500557,9,-1.6,0.5,44,4736,452.03536564
"16565","resistant",6,203.004228109624,203.004228109624,0.0323947219909827,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4588254524,4588986702,0.99984044887302,9,-1.6,0.5,44,4736,452.03536564
"16566","susceptible",6,0.0323947219909827,203.004228109624,0.0323947219909827,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,732178,4588986702,0.000159551126979927,9,-1.6,0.5,44,4736,452.03536564
"16567","resistant",7,202.991566887881,202.991566887881,0.0362772943147546,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4587968358,4588788289,0.999821318625231,9,-1.6,0.5,44,4736,452.03536564
"16568","susceptible",7,0.0362772943147546,202.991566887881,0.0362772943147546,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,819931,4588788289,0.000178681374768475,9,-1.6,0.5,44,4736,452.03536564
"16569","resistant",8,202.978773596826,202.978773596826,0.0399647934059817,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4587679207,4588582482,0.999803147267475,9,-1.6,0.5,44,4736,452.03536564
"16570","susceptible",8,0.0399647934059817,202.978773596826,0.0399647934059817,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,903275,4588582482,0.000196852732525426,9,-1.6,0.5,44,4736,452.03536564
"16571","resistant",0,0,0,10,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1000,0,226017682.82,0,9,-1.6,0.5,45,8511,452.03536564
"16572","susceptible",0,10,0,10,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1000,226017682.82,226017682.82,1,9,-1.6,0.5,45,8511,452.03536564
"16573","resistant",1,1.59279572955671e-06,1.59279572955671e-06,0.0945916697014654,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1000,36,2137975,1.68383634046235e-05,9,-1.6,0.5,45,8511,452.03536564
"16574","susceptible",1,0.0945916697014654,1.59279572955671e-06,0.0945916697014654,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1000,2137939,2137975,0.999983161636595,9,-1.6,0.5,45,8511,452.03536564
"16575","resistant",2,0.00027506697362928,0.00027506697362928,0.00853406678598741,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20562967,6217,199102,0.0312252011531778,9,-1.6,0.5,45,8511,452.03536564
"16576","susceptible",2,0.00853406678598741,0.00027506697362928,0.00853406678598741,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20562967,192885,199102,0.968774798846822,9,-1.6,0.5,45,8511,452.03536564
"16577","resistant",3,0.0560701704480911,0.0560701704480911,0.000870418621876924,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,22403120,1267285,1286958,0.98471356485604,9,-1.6,0.5,45,8511,452.03536564
"16578","susceptible",3,0.000870418621876924,0.0560701704480911,0.000870418621876924,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,22403120,19673,1286958,0.0152864351439596,9,-1.6,0.5,45,8511,452.03536564
"16579","resistant",4,11.074910240512,11.074910240512,0.00142913596834476,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,21349737,250312555,250344856,0.999870973981586,9,-1.6,0.5,45,8511,452.03536564
"16580","susceptible",4,0.00142913596834476,11.074910240512,0.00142913596834476,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,21349737,32301,250344856,0.000129026018413576,9,-1.6,0.5,45,8511,452.03536564
"16581","resistant",5,203.009279263082,203.009279263082,0.0252075409716387,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,362,4588368689,4588938424,0.999875846013313,9,-1.6,0.5,45,8511,452.03536564
"16582","susceptible",5,0.0252075409716387,203.009279263082,0.0252075409716387,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,362,569735,4588938424,0.000124153986686835,9,-1.6,0.5,45,8511,452.03536564
