"","nu","n_u","total_rows","zero_count","proportion_zero"
"1876",0.10481131,0.10481131,217,40,0.184331797235023
"1877",0.10481131,0.10481131,217,40,0.184331797235023
"1878",0.10481131,0.10481131,217,40,0.184331797235023
"1879",0.10481131,0.10481131,217,40,0.184331797235023
"1880",0.10481131,0.10481131,217,40,0.184331797235023
"1881",0.10481131,0.10481131,217,40,0.184331797235023
"1882",0.10481131,0.10481131,217,40,0.184331797235023
"1883",0.10481131,0.10481131,217,40,0.184331797235023
"1884",0.10481131,0.10481131,217,40,0.184331797235023
"1885",0.10481131,0.10481131,217,40,0.184331797235023
"1886",0.10481131,0.10481131,217,40,0.184331797235023
"1887",0.10481131,0.10481131,217,40,0.184331797235023
"1888",0.10481131,0.10481131,217,40,0.184331797235023
"1889",0.10481131,0.10481131,217,40,0.184331797235023
"1890",0.10481131,0.10481131,217,40,0.184331797235023
"1891",0.10481131,0.10481131,217,40,0.184331797235023
"1892",0.10481131,0.10481131,217,40,0.184331797235023
"1893",0.10481131,0.10481131,217,40,0.184331797235023
"1894",0.10481131,0.10481131,217,40,0.184331797235023
"1895",0.10481131,0.10481131,217,40,0.184331797235023
"1896",0.10481131,0.10481131,217,40,0.184331797235023
"1897",0.10481131,0.10481131,217,40,0.184331797235023
"1898",0.10481131,0.10481131,217,40,0.184331797235023
"1899",0.10481131,0.10481131,217,40,0.184331797235023
"1900",0.10481131,0.10481131,217,40,0.184331797235023
"1901",0.10481131,0.10481131,217,40,0.184331797235023
"1902",0.10481131,0.10481131,217,40,0.184331797235023
"1903",0.10481131,0.10481131,217,40,0.184331797235023
"1904",0.10481131,0.10481131,217,40,0.184331797235023
"1905",0.10481131,0.10481131,217,40,0.184331797235023
"1906",0.10481131,0.10481131,217,40,0.184331797235023
"1907",0.10481131,0.10481131,217,40,0.184331797235023
"1908",0.10481131,0.10481131,217,40,0.184331797235023
"1909",0.10481131,0.10481131,217,40,0.184331797235023
"1910",0.10481131,0.10481131,217,40,0.184331797235023
"1911",0.10481131,0.10481131,217,40,0.184331797235023
"1912",0.10481131,0.10481131,217,40,0.184331797235023
"1913",0.10481131,0.10481131,217,40,0.184331797235023
"1914",0.10481131,0.10481131,217,40,0.184331797235023
"1915",0.10481131,0.10481131,217,40,0.184331797235023
"1916",0.10481131,0.10481131,217,40,0.184331797235023
"1917",0.10481131,0.10481131,217,40,0.184331797235023
"1918",0.10481131,0.10481131,217,40,0.184331797235023
"1919",0.10481131,0.10481131,217,40,0.184331797235023
"1920",0.10481131,0.10481131,217,40,0.184331797235023
"1921",0.10481131,0.10481131,217,40,0.184331797235023
"1922",0.10481131,0.10481131,217,40,0.184331797235023
"1923",0.10481131,0.10481131,217,40,0.184331797235023
"1924",0.10481131,0.10481131,217,40,0.184331797235023
"1925",0.10481131,0.10481131,217,40,0.184331797235023
"1926",0.10481131,0.10481131,217,40,0.184331797235023
"1927",0.10481131,0.10481131,217,40,0.184331797235023
