"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","treatment"
"6803","resistant",5.66666666666667,5.2509178144795,5.2509178144795,1.17119481361337,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,6,53025,"64852","0.817630913464504",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6804","susceptible",5.66666666666667,1.17119481361337,5.2509178144795,1.17119481361337,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,6,11827,"64852","0.182369086535496",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6805","resistant",6,4.35947486934146,4.35947486934146,0.623277260242036,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,17,44023,"50317","0.874913051255043",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6806","susceptible",6,0.623277260242036,4.35947486934146,0.623277260242036,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,17,6294,"50317","0.125086948744957",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6807","resistant",6.33333333333333,3.55685933164497,3.55685933164497,0.291239024844587,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,74,35918,"38859","0.924316117244396",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6808","susceptible",6.33333333333333,0.291239024844587,3.55685933164497,0.291239024844587,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,74,2941,"38859","0.0756838827556036",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6809","resistant",6.66666666666667,2.75622433815008,2.75622433815008,0.11358420996149,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,212,27833,"28980","0.960420979986197",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6810","susceptible",6.66666666666667,0.11358420996149,2.75622433815008,0.11358420996149,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,212,1147,"28980","0.0395790200138026",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6811","resistant",7,1.9574708616467,1.9574708616467,0.0319857888557638,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,561,19767,"20090","0.983922349427576",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6812","susceptible",7,0.0319857888557638,1.9574708616467,0.0319857888557638,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,561,323,"20090","0.0160776505724241",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6813","resistant",7.33333333333333,1.27240062231489,1.27240062231489,0.00435719724350963,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,1457,12849,"12893","0.99658729543163",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
